;o;d;t;n
1;1.0;6.0;0.0;0.0
2;1.0;7.0;0.0;0.0
3;1.0;8.0;0.0;0.0
4;1.0;9.0;0.0;0.0
5;1.0;11.0;0.0;0.0
6;1.0;14.0;0.0;0.0
7;1.0;17.0;0.0;0.0
8;1.0;18.0;0.0;0.0
9;1.0;20.0;0.0;0.0
10;1.0;24.0;0.0;0.0
11;1.0;25.0;0.0;0.0
12;1.0;27.0;0.0;0.0
13;1.0;29.0;0.0;0.0
14;1.0;31.0;0.0;0.0
15;1.0;33.0;0.0;0.0
16;1.0;37.0;0.0;0.0
17;1.0;39.0;0.0;0.0
18;1.0;40.0;0.0;0.0
19;1.0;45.0;1.0;1.0
20;1.0;46.0;1.0;1.0
21;1.0;47.0;1.0;1.0
22;1.0;48.0;1.0;1.0
23;1.0;49.0;1.0;1.0
24;1.0;50.0;1.0;1.0
25;1.0;58.0;1.0;1.0
26;1.0;59.0;1.0;1.0
27;1.0;60.0;1.0;1.0
28;1.0;61.0;1.0;1.0
29;1.0;62.0;1.0;1.0
30;1.0;63.0;1.0;1.0
31;1.0;65.0;1.0;1.0
32;1.0;71.0;1.0;1.0
33;1.0;74.0;1.0;1.0
34;1.0;76.0;1.0;1.0
35;1.0;78.0;1.0;1.0
36;1.0;85.0;1.0;2.0
37;1.0;87.0;1.0;2.0
38;1.0;88.0;1.0;2.0
39;1.0;89.0;1.0;2.0
40;1.0;90.0;1.0;2.0
41;1.0;92.0;1.0;2.0
42;1.0;93.0;1.0;2.0
43;1.0;97.0;1.0;2.0
44;1.0;99.0;1.0;2.0
45;1.0;101.0;1.0;2.0
46;1.0;103.0;1.0;2.0
47;1.0;105.0;1.0;2.0
48;1.0;106.0;1.0;2.0
49;1.0;109.0;1.0;2.0
50;1.0;116.0;1.0;2.0
51;1.0;117.0;1.0;2.0
52;1.0;118.0;1.0;2.0
53;1.0;119.0;1.0;2.0
54;1.0;129.0;1.0;3.0
55;1.0;130.0;1.0;3.0
56;1.0;131.0;1.0;3.0
57;1.0;132.0;1.0;3.0
58;1.0;133.0;1.0;3.0
59;1.0;135.0;1.0;3.0
60;1.0;140.0;1.0;3.0
61;1.0;141.0;1.0;3.0
62;1.0;143.0;1.0;3.0
63;1.0;147.0;1.0;3.0
64;1.0;149.0;1.0;3.0
65;1.0;151.0;1.0;3.0
66;1.0;153.0;1.0;3.0
67;1.0;155.0;1.0;3.0
68;1.0;158.0;1.0;3.0
69;1.0;161.0;1.0;3.0
70;1.0;163.0;1.0;3.0
71;1.0;164.0;1.0;3.0
72;1.0;165.0;1.0;3.0
73;1.0;171.0;1.0;4.0
74;1.0;172.0;1.0;4.0
75;1.0;173.0;1.0;4.0
76;1.0;174.0;1.0;4.0
77;1.0;175.0;1.0;4.0
78;1.0;176.0;1.0;4.0
79;1.0;183.0;1.0;4.0
80;1.0;184.0;1.0;4.0
81;1.0;186.0;1.0;4.0
82;1.0;187.0;1.0;4.0
83;1.0;189.0;1.0;4.0
84;1.0;190.0;1.0;4.0
85;1.0;192.0;1.0;4.0
86;1.0;194.0;1.0;4.0
87;1.0;197.0;1.0;4.0
88;1.0;202.0;1.0;4.0
89;1.0;203.0;1.0;4.0
90;1.0;204.0;1.0;4.0
91;1.0;205.0;1.0;4.0
92;1.0;206.0;1.0;4.0
93;1.0;211.0;1.0;5.0
94;1.0;212.0;1.0;5.0
95;1.0;214.0;1.0;5.0
96;1.0;215.0;1.0;5.0
97;1.0;216.0;1.0;5.0
98;1.0;217.0;1.0;5.0
99;1.0;219.0;1.0;5.0
